Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	1	1	1	1	1	1	1	1	1	H	1	1	1	1	1	1	1	H	1	1	0	1
Death Note	1	1	1	1	1	PTW	PTW	1	H	PTW	1	1	1	0	1	1	PTW	H	1	1	W	1
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen	1	1	W	1	1	1	1	W	1	H	1	1	1	H	1	1	1	1	1	1	0	1
No Game No Life	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	PTW	1	W	1
Shigatsu wa Kimi no Uso	1	1	1	1	PTW	PTW	1	1	W	PTW	1	1	1	1	1	PTW	D	1	1	1	1	0
Steins;Gate	1	1	1	1	1	1	PTW	1	1	1	1	1	1	1	1	1	H	H	PTW	1	0	1
Violet Evergarden	1	1	1	1	W	1	1	PTW	1	H	1	1	1	1	1	1	1	H	1	1	PTW	0
Kimi no Na wa.	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	PTW	1	1	0
Odd Taxi	1	1	1	1	1	1	1	W	1	1	1	1	1	0	1	1	1	H	1	1	1	0
Re:Zero kara Hajimeru Isekai Seikatsu	1	1	1	1	1	PTW	1	1	0	1	1	1	1	0	1	1	1	1	PTW	1	1	1
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai	1	1	1	1	1	1	1	1	1	1	1	1	1	D	1	PTW	1	1	PTW	1	0	0
Spy x Family	W	W	H	W	W	W	W	W	W	W	W	W	W	W	0	0	W	W	W	W	W	W
86	1	1	D	D	1	1	1	1	1	H	1	1	1	0	1	1	1	H	0	W	W	0
Death Parade	1	1	H	1	0	PTW	PTW	PTW	1	1	1	1	0	0	1	PTW	PTW	PTW	PTW	1	W	1
Jujutsu Kaisen (TV)	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
Kimetsu no Yaiba	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	D	1	1	1	W	1
Koe no Katachi	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1
Mahou Shoujo MadokaÅöMagica	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	PTW	1	H	PTW	1	0	0
Shingeki no Kyojin	1	1	1	1	0	1	PTW	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
Yahari Ore no Seishun Love Comedy wa Machigatteiru.	1	0	1	1	1	PTW	1	1	0	PTW	1	1	1	1	1	PTW	1	1	1	1	0	1
Mob Psycho 100	1	1	0	1	1	0	1	1	H	1	1	1	1	0	1	1	H	1	1	1	1	0
One Punch Man	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1
Sen to Chihiro no Kamikakushi	1	1	1	1	1	1	1	PTW	1	1	1	1	0	0	1	0	1	1	1	1	0	1
Sword Art Online	1	1	D	1	1	1	PTW	1	0	1	0	1	1	1	1	1	0	H	0	1	1	1
Toradora!	1	1	1	1	1	1	1	PTW	0	H	1	1	0	D	1	1	1	H	0	1	0	1
Wotaku ni Koi wa Muzukashii	1	1	1	1	1	1	1	1	1	H	1	1	0	0	1	1	1	1	0	1	W	0
Ansatsu Kyoushitsu	1	1	H	1	0	1	PTW	1	1	1	1	H	0	0	1	1	0	PTW	0	1	W	1
Darling in the FranXX	1	1	D	1	0	D	PTW	PTW	0	1	1	D	1	D	PTW	1	0	1	0	1	0	1
Dr. Stone	1	1	D	1	0	0	1	1	0	1	1	0	1	D	1	0	1	1	PTW	1	W	1
Horimiya	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	PTW	1	H	0	1	0	1
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1
Kobayashi-san Chi no Maid Dragon	1	1	1	0	1	PTW	1	PTW	0	1	1	1	0	0	W	PTW	1	1	1	1	0	1
Made in Abyss	1	1	1	0	1	PTW	1	1	1	1	1	1	0	D	1	0	1	H	1	1	0	0
Shiguang Dailiren	1	1	1	1	1	1	0	1	1	W	1	1	1	0	1	0	1	0	PTW	PTW	1	0
Shingeki no Kyojin Season 2	1	1	0	1	0	0	PTW	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
Violet Evergarden Movie	1	PTW	1	1	0	1	1	PTW	1	0	1	1	1	1	1	0	1	PTW	1	1	0	0
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku	1	0	1	1	1	PTW	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1
Yakusoku no Neverland	1	1	1	1	1	PTW	0	PTW	0	1	1	1	1	0	0	1	0	1	1	1	PTW	1
Kaguya-sama wa Kokurasetai: Ultra Romantic	W	W	D	W	W	PTW	W	PTW	0	0	W	W	W	0	0	PTW	W	W	W	W	0	W
Bakemonogatari	1	1	1	1	1	1	1	PTW	0	1	1	1	0	PTW	0	1	1	H	0	1	0	0
Boku dake ga Inai Machi	1	1	H	1	1	1	PTW	1	W	1	1	1	0	0	0	1	0	PTW	0	1	0	1
Boku no Hero Academia	1	1	0	1	1	0	D	1	1	1	1	1	0	PTW	0	1	0	1	0	1	1	1
Bungou Stray Dogs	1	1	1	D	1	1	0	W	1	1	1	W	0	0	1	1	1	H	0	1	0	0
Chuunibyou demo Koi ga Shitai!	1	1	1	1	1	1	1	PTW	0	0	1	1	0	0	0	PTW	1	1	PTW	1	0	1
Eizouken ni wa Te wo Dasu na!	1	1	W	D	1	1	1	W	1	1	1	1	1	0	0	1	1	H	0	0	0	0
Kill la Kill	1	1	1	0	1	PTW	1	PTW	0	1	0	1	0	1	1	1	D	1	PTW	0	0	1
Kimetsu no Yaiba: Yuukaku-hen	1	1	0	1	1	W	1	PTW	0	PTW	1	1	1	0	1	0	0	PTW	1	1	0	1
Kono Subarashii Sekai ni Shukufuku wo!	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	W	1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	H	0	1	0	1
Code Geass: Hangyaku no Lelouch	H	1	1	1	0	1	PTW	1	0	D	0	1	1	0	0	1	0	H	PTW	1	W	1
5-toubun no Hanayome	1	1	0	PTW	1	PTW	1	PTW	0	0	1	1	0	0	1	1	1	1	0	1	0	1
Angel Beats!	1	0	1	1	0	1	1	1	0	1	1	1	1	PTW	0	1	0	H	0	1	0	1
Baccano!	1	1	1	0	1	1	PTW	W	1	1	1	W	1	0	0	1	1	H	0	0	0	0
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka	1	1	D	PTW	0	0	1	1	0	D	1	1	0	1	1	1	0	1	0	1	0	1
Fullmetal Alchemist: Brotherhood	1	1	1	1	0	0	1	H	1	1	1	1	0	0	0	1	0	H	1	PTW	0	1
Hotarubi no Mori e	1	1	1	1	0	0	0	PTW	1	1	1	1	0	0	PTW	1	1	PTW	1	1	0	0
Hunter x Hunter (2011)	1	1	D	1	1	0	0	H	1	1	0	1	0	0	1	1	0	1	1	0	1	1
Hyouka	1	0	0	1	1	PTW	1	1	0	D	1	0	0	D	PTW	PTW	PTW	H	PTW	1	0	0
Kanojo, Okarishimasu	1	1	0	1	1	0	1	PTW	0	0	1	1	1	0	1	1	1	PTW	0	PTW	0	1
Kimetsu no Yaiba Movie: Mugen Ressha-hen	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	PTW	0	1	1	1	0	1
Mob Psycho 100 II	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0
Neon Genesis Evangelion	1	1	W	1	1	H	1	0	0	H	0	1	0	0	0	1	1	H	PTW	PTW	0	1
Sakura-sou no Pet na Kanojo	1	PTW	1	1	1	0	1	PTW	0	0	PTW	1	0	PTW	1	PTW	0	1	PTW	1	0	0
Shingeki no Kyojin Season 3	1	1	0	1	0	0	PTW	1	0	0	1	1	1	0	1	1	0	1	1	1	W	1
Sono Bisque Doll wa Koi wo Suru	1	1	0	1	1	0	1	PTW	0	W	1	1	0	W	1	PTW	D	PTW	0	1	0	0
Tengen Toppa Gurren Lagann	1	1	1	PTW	1	0	D	1	0	PTW	0	1	1	0	0	1	0	PTW	W	PTW	0	1
Tensei shitara Slime Datta Ken	1	1	0	0	0	1	1	0	H	0	1	1	0	D	1	1	D	1	0	1	1	1
Vivy: Fluorite Eye's Song	1	1	0	0	0	0	PTW	PTW	1	PTW	1	0	1	1	1	PTW	1	0	PTW	PTW	0	1
Little Witch Academia (TV)	H	H	1	0	D	1	PTW	D	W	1	D	1	0	0	0	0	D	H	PTW	1	0	0
Sora yori mo Tooi Basho	H	0	1	1	1	PTW	1	H	0	H	1	H	0	D	1	0	1	1	PTW	0	0	0
Boku no Hero Academia 2nd Season	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1
Cowboy Bebop	1	1	H	D	0	0	PTW	PTW	0	PTW	0	H	1	0	0	1	PTW	H	PTW	W	0	0
Danshi Koukousei no Nichijou	1	0	1	PTW	1	1	1	0	H	H	W	H	0	0	0	1	H	H	0	W	0	0
Fumetsu no Anata e	1	1	D	PTW	0	0	PTW	0	W	PTW	D	0	0	0	0	PTW	D	PTW	PTW	1	0	W
Houseki no Kuni (TV)	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	PTW	PTW	PTW	1	1	1	0
Kakegurui	1	1	1	1	0	1	1	PTW	1	1	1	0	0	0	0	1	0	1	0	1	0	1
Kono Subarashii Sekai ni Shukufuku wo! 2	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1
Mushoku Tensei: Isekai Ittara Honki Dasu	1	1	0	0	0	0	1	1	0	PTW	1	1	0	0	1	1	1	PTW	1	1	0	1
Nisekoi	1	1	0	1	1	0	1	1	0	PTW	0	1	0	PTW	1	1	1	1	0	1	0	0
Ookami to Koushinryou	1	1	0	1	0	1	1	H	0	0	1	H	0	H	1	PTW	0	1	PTW	0	0	1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	PTW	1	0	0	1	0	1
Shingeki no Kyojin Season 3 Part 2	1	1	0	1	0	0	PTW	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1
